date,dengue_fever_cases,dhf_cases,daily_max_temp,daily_min_temp,extreme_max_temp,extreme_min_temp,total_rainfall,total_highest_daily_rainfall,no_of_rainy_days,sunshine_daily_mean,min_relative_humidity,mean_daily_humidity,monthly_mean_temp
2016-08-31,1002,3,31.8,26.2,33.8,22.1,139.2,30.6,15.0,6.7,41.0,74.0,28.9
2016-09-30,727,0,32.0,25.1,34.4,22.6,118.9,34.0,15.0,5.5,33.0,73.9,28.3
2016-10-31,496,1,32.1,25.2,34.6,21.6,181.0,75.4,16.0,4.6,38.0,72.0,28.3
2016-11-30,316,1,30.7,24.9,32.6,22.7,290.2,65.6,20.0,3.5,46.0,77.6,27.4
2016-12-31,276,0,31.6,24.7,33.6,23.0,292.6,73.0,23.0,5.1,34.0,72.8,27.4
2017-01-31,362,2,30.7,24.7,33.7,21.8,197.6,60.6,21.0,4.8,44.0,84.8,26.9
2017-02-28,223,2,30.7,24.7,32.4,22.6,158.4,31.0,15.0,7.1,59.0,83.2,26.9
2017-03-31,147,2,31.1,24.9,33.3,22.9,136.2,30.2,11.0,6.1,52.0,82.5,27.4
2017-04-30,199,0,31.8,25.0,34.4,22.8,208.6,42.8,21.0,5.3,50.0,83.5,27.8
2017-05-31,212,2,31.4,25.9,32.8,23.6,190.0,44.8,15.0,5.9,57.0,82.8,28.5
2017-06-30,289,1,31.6,25.9,33.0,22.2,106.0,29.6,10.0,6.3,51.0,80.2,28.5
2017-07-31,293,1,31.0,26.0,32.4,23.5,79.6,30.2,9.0,7.0,57.0,79.6,28.3
2017-08-31,192,2,31.0,25.9,33.0,23.7,84.2,29.4,18.0,6.1,54.0,79.9,28.1
2017-09-30,190,1,31.2,25.4,32.4,22.3,124.4,20.2,19.0,5.7,55.0,81.0,28.0
2017-10-31,307,2,31.6,25.3,34.6,23.5,120.8,31.2,18.0,5.5,45.0,82.5,27.9
2017-11-30,155,1,30.8,24.6,32.5,23.1,268.6,45.2,24.0,4.2,60.0,86.3,27.1
2017-12-31,190,1,30.8,24.6,33.5,23.2,371.2,69.8,23.0,5.6,51.0,85.2,27.0
2018-01-31,250,0,29.8,24.0,33.2,21.3,287.0,45.8,25.0,4.1,44.0,86.6,26.1
2018-02-28,164,1,31.2,24.8,33.5,23.5,14.8,13.0,5.0,8.0,49.0,77.2,27.2
2018-03-31,161,2,32.4,25.4,34.2,23.6,44.6,15.2,10.0,6.4,49.0,78.4,28.0
2018-04-30,211,1,33.2,25.8,35.0,22.6,61.2,14.0,14.0,6.8,39.0,78.5,28.5
2018-05-31,263,5,32.4,26.2,34.2,23.6,132.2,47.4,19.0,5.8,43.0,79.0,28.7
2018-06-30,241,4,31.3,25.6,33.4,22.9,182.6,46.8,17.0,4.1,51.0,79.3,28.4
2018-07-31,272,3,31.3,26.0,33.0,21.9,143.2,32.4,10.0,6.1,50.0,77.7,28.5
2018-08-31,217,4,31.7,26.1,33.2,21.9,121.6,34.6,11.0,6.7,39.0,77.0,28.5
2018-09-30,302,1,31.2,25.3,33.0,21.4,144.4,45.0,13.0,6.0,48.0,77.1,28.0
2018-10-31,240,2,31.9,25.2,34.5,22.5,234.4,60.6,18.0,6.1,33.0,79.7,27.9
2018-11-30,321,0,31.0,24.6,33.4,22.4,169.6,20.6,27.0,3.8,53.0,83.2,27.3
2018-12-31,617,3,31.6,25.3,33.8,23.6,172.6,43.8,19.0,5.1,47.0,81.5,27.6
2019-01-31,878,11,31.7,25.6,33.4,23.5,63.6,38.2,9.0,7.1,47.0,75.6,28.0
2019-02-28,727,10,32.8,25.4,34.1,21.9,31.6,13.4,5.0,9.2,46.0,74.1,28.2
